Consolidated balance sheet,,,,
,,,,
CONSOLIDATED BALANCE SHEET,,,,
,,,,
Assets,Notes,2025,2024,2023
(EUR millions),,,,
,,,,
Brands and other intangible assets,3,"23,129","26,280","25,589"
Goodwill,4,"18,315","20,307","24,022"
"Property, plant and equipment",6,"29,728","29,886","27,331"
Right-of-use assets,7,"14,860","16,620","15,679"
Investments in joint ventures and associates,8,"1,214","1,343",991
Non-current available for sale financial assets,9,"1,891","1,632","1,363"
Other non-current assets,10,983,"1,106","1,017"
Deferred tax,,"3,738","4,545","3,992"
,,,,
Non-current assets,,"93,858","101,719","99,984"
,,,,
Inventories and work in progress,11,"22,659","23,669","22,952"
Trade accounts receivable,12,"4,332","4,730","4,728"
Income taxes,,758,986,533
Other current assets,13,"8,840","8,455","7,723"
Assets held for sale,2,"2,796",-,-
Cash and cash equivalents,15,"8,794","9,631","7,774"
,,,,
Current assets,,"48,179","47,471","43,710"
,,,,
Total assets,,"142,037","149,190","143,694"
,,,,
Liabilities and equity,Notes,2025,2024,2023
(EUR millions),,,,
,,,,
"Equity, Group share",16,"67,472","67,517","61,017"
Minority interests,18,"1,477","1,770","1,684"
,,,,
Equity,,"68,949","69,287","62,701"
,,,,
Long-term borrowings,19,"12,418","12,091","11,227"
Non-current lease liabilities,7,"13,384","14,860","13,810"
Non-current provisions and other liabilities,20,"3,546","3,856","3,880"
Deferred tax,,"6,993","7,344","7,012"
Purchase commitments for minority interests’ shares,21,"6,331","8,056","11,919"
,,,,
Non-current liabilities,,"42,672","46,207","47,848"
,,,,
Short-term borrowings,19,"7,925","10,851","10,680"
Current lease liabilities,7,"2,634","2,972","2,728"
Trade accounts payable,22,"8,223","8,630","9,049"
Income taxes,,828,"1,231","1,148"
Current provisions and other liabilities,22,"9,190","10,012","9,540"
Liabilities held for sale,2,"1,616",-,-
,,,,
Current liabilities,,"30,416","33,696","33,145"
,,,,
Total liabilities and equity,,"142,037","149,190","143,694"
