ASSETS,,,,
,,,,
In millions of euros,,,31/12/2024,31/12/2023
,,,,
Goodwill,,,228,72
Intangible assets,,,237,225
Right-of-use assets,,,"1,786","1,716"
"Property, plant and eq",uipment,,"2,980","2,347"
Financial assets,,,"1,050","1,141"
Investments in associa,tes,,238,200
Deferred tax assets,,,929,631
Other non-current ass,ets,,159,107
Non-current assets,,,"7,608","6,438"
Inventories and work-i,n-progress,,"2,797","2,414"
Trade and other receiv,ables,,478,431
Current tax receivable,s,,28,51
Other current assets,,,398,300
Financial derivatives,,,132,188
Cash and cash equiva,lents,,"11,642","10,625"
Current assets,,,"15,476","14,008"
,,,,
TOTAL ASSETS,,,"23,084","20,447"
,,,,
LIABILITIES,,,,
,,,,
In millions of euros,,,31/12/2024,31/12/2023
,,,,
Share capital,,,54,54
Share premium,,,50,50
Treasury shares,,,(670),(698)
Reserves,,,"12,464","10,744"
Foreign currency adju,stments,,355,189
Revaluation adjustme,nts,,471,553
Net income attributabl,e to owners of th,e parent,"4,603","4,311"
Equity attributable to,owners of the,parent,"17,327","15,201"
Non-controlling interes,ts,,7,2
Equity,,,"17,334","15,203"
,,,,
Borrowings and financ,ial liabilities due,in more than one year,61,50
Lease liabilities due in,more than one y,ear,"1,781","1,720"
Non-current provisions,,,33,31
Post-employment and,other employee,benefit obligations due in more than one year,173,151
Deferred tax liabilities,,,5,2
Other non-current liabi,lities,,69,106
Non-current liabilitie,s,,"2,120","2,060"
,,,,
Borrowings and financ,ial liabilities due,in less than one year,0,1
Lease liabilities due in,less than one y,ear,332,289
Current provisions,,,96,134
Post-employment and,other employee,benefit obligations due in less than one year,16,16
Trade and other payab,les,,832,880
Financial derivatives,,,161,45
Current tax liabilities,,,773,586
Other current liabilities,,,"1,419","1,233"
Current liabilities,,,"3,629","3,183"
,,,,
TOTAL EQUITY AND,LIABILITIES,,"23,084","20,447"
